StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080
AZ,Scottsdale,465000,217385,33.687249365099994,-111.8650859,227,166,112.93039611816411,115.79043395996098,118.76045593261722,2.860037841796867,5.830059814453108,102.46363636363637,121.53636363636363,143.99090909090907,143.99090909090907,19.072727272727263,41.5272727272727,41.5272727272727
NV,North Las Vegas,3251800,216961,36.2891993562,-115.0884961,176,208,114.60555297851568,116.68385864257819,119.47696777343754,2.078305664062512,4.871414794921861,93.36363636363636,108.11818181818182,129.66363636363639,129.66363636363639,14.754545454545465,36.300000000000026,36.300000000000026
TX,Irving,4837000,216290,32.8583808131,-96.97030583,465,153,110.24650207519535,112.51799133300786,115.48398681640629,2.2714892578125045,5.237484741210935,50.699999999999996,73.68181818181817,101.34545454545454,101.34545454545454,22.981818181818177,50.64545454545455,50.64545454545455
CA,Fremont,626000,214089,37.5278685405,-121.9841215,65,227,103.77147888183598,105.23909851074222,107.12039184570317,1.4676196289062489,3.3489129638671926,1.7363636363636363,3.454545454545454,5.509090909090909,5.509090909090909,1.7181818181818178,3.7727272727272725,3.7727272727272725
CA,Irvine,636770,212375,33.67801089040001,-117.7736333,133,166,105.03419799804692,105.33853027343753,108.5846716308594,0.3043322753906068,3.5504736328124835,2.709090909090909,6.009090909090909,11.57272727272727,11.57272727272727,3.3,8.863636363636362,8.863636363636362
AL,Birmingham,107000,212237,33.5275663773,-86.79881747,628,163,103.4286724853516,106.69057922363285,111.26951599121098,3.2619067382812545,7.840843505859382,9.754545454545454,26.51818181818182,55.01818181818182,55.01818181818182,16.763636363636365,45.263636363636365,45.263636363636365
NY,Rochester,3663000,210565,43.1679802918,-77.61623489,775,318,98.14282592773442,103.30147827148441,107.34560058593755,5.158652343749992,9.202774658203126,0.6545454545454545,4.590909090909092,14.854545454545455,14.854545454545455,3.9363636363636374,14.200000000000001,14.200000000000001
CA,San Bernardino,665000,209924,34.13923228440001,-117.2952727,140,173,112.87731018066411,115.56455505371098,117.60775390625004,2.6872448730468648,4.730443725585928,56.58181818181818,78.7,103.4,103.4,22.118181818181824,46.81818181818183,46.81818181818183
WA,Spokane,5367000,208916,47.6736243259,-117.4159733,138,390,104.98100769042972,106.4079779052735,109.77162902832035,1.4269702148437773,4.790621337890627,8.163636363636362,15.190909090909091,26.890909090909087,26.890909090909087,7.027272727272729,18.727272727272727,18.727272727272727
AZ,Gilbert,427400,208453,33.310149392,-111.7462375,229,160,116.05325988769535,118.73908203125004,121.64866821289067,2.685822143554688,5.595408325195322,131.7181818181818,149.90909090909093,166.4818181818182,166.4818181818182,18.190909090909145,34.76363636363641,34.76363636363641
